iter	Passed	Remaining
426	2796	3752
427	2806	3751
428	2815	3747
429	2823	3742
430	2831	3737
431	2837	3730
432	2847	3728
433	2862	3733
434	2871	3729
435	2879	3725
436	2891	3725
437	2900	3721
438	2909	3717
439	2917	3712
440	2926	3709
441	2934	3704
442	2943	3700
443	2952	3697
444	2959	3690
445	2969	3688
446	2977	3683
447	2988	3682
448	2995	3675
449	3004	3671
450	3014	3669
451	3020	3661
452	3030	3659
453	3039	3655
454	3049	3652
455	3057	3647
456	3063	3640
457	3074	3637
458	3092	3645
459	3103	3642
460	3111	3637
461	3119	3632
462	3130	3630
463	3137	3624
464	3143	3616
465	3153	3613
466	3162	3609
467	3171	3605
468	3179	3600
469	3186	3593
470	3191	3584
471	3195	3574
472	3200	3565
473	3204	3555
474	3207	3545
475	3211	3535
476	3215	3525
477	3220	3517
478	3229	3512
479	3235	3505
480	3246	3502
481	3263	3506
482	3275	3505
483	3290	3508
484	3303	3507
485	3315	3506
486	3322	3499
487	3330	3494
488	3338	3488
489	3344	3480
490	3352	3475
491	3361	3470
492	3370	3466
493	3379	3462
494	3386	3454
495	3396	3450
496	3405	3446
497	3412	3439
498	3420	3434
499	3428	3428
500	3436	3422
501	3442	3414
502	3452	3410
503	3460	3405
504	3466	3397
505	3476	3394
506	3486	3389
507	3494	3384
508	3502	3378
509	3511	3373
510	3520	3368
511	3527	3361
512	3536	3357
513	3542	3349
514	3551	3344
515	3559	3338
516	3567	3333
517	3577	3328
518	3585	3322
519	3592	3316
520	3603	3312
521	3612	3307
522	3619	3300
523	3628	3295
524	3637	3291
525	3645	3285
526	3654	3279
527	3663	3274
528	3669	3267
529	3682	3265
530	3698	3266
531	3712	3266
532	3722	3261
533	3731	3256
534	3739	3250
535	3747	3244
536	3755	3237
537	3761	3230
538	3772	3226
539	3782	3221
540	3790	3215
541	3804	3214
542	3813	3209
543	3822	3204
544	3831	3198
545	3841	3193
546	3854	3192
547	3864	3187
548	3874	3182
549	3881	3176
550	3890	3170
551	3899	3164
552	3906	3157
553	3915	3152
554	3929	3150
555	3940	3146
556	3951	3142
557	3960	3136
558	3968	3130
559	3975	3123
560	3986	3119
561	3995	3114
562	4002	3106
563	4012	3101
564	4024	3098
565	4034	3093
566	4043	3087
567	4052	3082
568	4060	3075
569	4066	3067
570	4077	3063
571	4086	3058
572	4095	3051
573	4099	3042
574	4102	3032
575	4105	3022
576	4107	3011
577	4111	3001
578	4113	2990
579	4116	2980
580	4119	2971
581	4122	2960
582	4125	2950
583	4129	2941
584	4132	2931
585	4134	2921
586	4137	2911
587	4140	2901
588	4142	2890
589	4145	2881
590	4148	2871
591	4151	2861
592	4154	2851
593	4157	2841
594	4160	2832
595	4163	2822
596	4166	2812
597	4168	2802
598	4171	2792
599	4173	2782
600	4176	2772
601	4178	2762
602	4181	2752
603	4184	2743
604	4187	2733
